8.555744e-01 1.927695e-02 0.000000e+00 8.748514e-01 0.000000e+00 
8.515169e-01 2.164764e-02 -8.878682e-05 8.748526e-01 1.776859e-03 
8.347815e-01 2.010271e-02 1.795903e-02 8.748529e-01 2.009625e-03 
8.310426e-01 2.478129e-03 3.020812e-02 8.748539e-01 1.112499e-02 
8.035418e-01 2.840741e-02 2.938142e-02 8.748186e-01 1.348796e-02 
8.185069e-01 2.277294e-02 6.479319e-03 8.748211e-01 2.706193e-02 
8.504215e-01 1.307417e-02 -1.659336e-02 8.748204e-01 2.791802e-02 
8.786626e-01 8.591996e-03 -4.120915e-02 8.748207e-01 2.877531e-02 
9.031569e-01 8.155653e-03 -6.611893e-02 8.748176e-01 2.962397e-02 
9.212075e-01 1.289365e-02 -8.974333e-02 8.748128e-01 3.045494e-02 
9.264963e-01 2.711890e-02 -1.100630e-01 8.748094e-01 3.125718e-02 
9.068245e-01 6.063223e-02 -1.246659e-01 8.748044e-01 3.201362e-02 
9.403375e-01 2.284656e-02 -1.342012e-01 8.748205e-01 4.583762e-02 
9.556975e-01 5.971849e-03 -1.335868e-01 8.748221e-01 4.673956e-02 
9.487076e-01 7.069503e-03 -1.285925e-01 8.748110e-01 4.762644e-02 
9.220165e-01 2.445195e-02 -1.202067e-01 8.747489e-01 4.848712e-02 
9.253011e-01 5.450499e-03 -1.134569e-01 8.747451e-01 5.745037e-02 
9.185935e-01 8.442210e-03 -1.109982e-01 8.747412e-01 5.870362e-02 
8.895051e-01 2.365715e-02 -1.033995e-01 8.747337e-01 6.497090e-02 
8.898552e-01 7.239109e-03 -8.816784e-02 8.747437e-01 6.581718e-02 
8.803039e-01 1.871557e-03 -7.410337e-02 8.747434e-01 6.667135e-02 
8.685995e-01 4.271672e-03 -6.893366e-02 8.747444e-01 7.080692e-02 
8.800416e-01 3.006336e-02 -1.117082e-01 8.747416e-01 7.634481e-02 
8.672737e-01 3.867169e-02 -1.141801e-01 8.747246e-01 8.295929e-02 
8.485273e-01 3.846711e-02 -9.599505e-02 8.747256e-01 8.372621e-02 
8.598844e-01 2.621306e-03 -8.572484e-02 8.747293e-01 9.794842e-02 
8.349856e-01 2.501053e-02 -8.548106e-02 8.747014e-01 1.001863e-01 
8.135805e-01 4.598563e-02 -1.044012e-01 8.746676e-01 1.195027e-01 
8.527386e-01 2.875636e-02 -1.271641e-01 8.746663e-01 1.203355e-01 
8.864565e-01 1.935837e-02 -1.523325e-01 8.746628e-01 1.211804e-01 
